,Luz (lux)
2647,40225
2648,21192
2649,23982
2650,23982
2651,19810
2652,12354
2653,4342
2654,1954
2655,1933
2656,1334
2657,795
2658,273
2659,2
2660,1
2661,1
2662,1
2663,1
2664,1
2665,1
2666,1
2667,1
2668,1
2669,1
2670,1
2671,1
2672,1
2673,1
2674,1
2675,1
2676,1
2677,1
2678,1
2679,1
2680,1
2681,21
2682,2187
2683,15999
2684,18106
2685,19369
2686,19588
2687,21919
2688,33226
2689,36354
2690,38456
2691,43518
2692,41139
2693,23714
2694,29693
2695,35148
2696,28387
2697,50937
2698,13216
2699,8917
2700,15469
2701,34366
2702,18106
2703,27756
2704,12354
2705,2288
2706,370
2707,2
2708,1
2709,1
2710,1
2711,1
2712,1
2713,1
2714,1
2715,1
2716,1
2717,1
2718,1
2719,1
