,Velocidad del viento (Km/h)
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,2.063037249
1324,3.64556962
1325,3.1718061669999997
1326,4.816053512
1327,3.272727273
1328,1.714285714
1329,1.1068408920000001
1330,2.096069869
1331,2.8290766210000005
1332,2.139673105
1333,2.205206738
1334,0.0
1335,0.0
1336,3.214285714
1337,0.0
1338,1.92513369
1339,0.0
1340,0.0
1341,0.0
1342,1.253263708
1343,0.0
1344,4.528301887
1345,0.0
1346,0.0
1347,3.0125523010000004
1348,0.0
1349,4.033613445
1350,4.114285714
1351,2.691588785
1352,0.0
1353,2.3040000000000003
1354,1.708185053
1355,1.075429425
1356,0.0
1357,1.696113074
1358,0.0
1359,0.0
1360,0.0
1361,2.453151618
1362,1.258741259
1363,0.0
1364,0.0
1365,2.102189781
1366,1.1566265059999998
1367,49.65517241
1368,0.0
1369,3.090128755
1370,1.203007519
1371,0.0
1372,5.373134328
1373,9.171974522000001
1374,6.82464455
1375,0.0
1376,0.0
1377,0.0
1378,0.0
1379,18.94736842
1380,0.0
1381,1.92
1382,0.0
1383,2.0991253640000003
1384,0.0
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,2.416107383
1392,1.027837259
1393,7.659574468
1394,0.0
1395,1.313868613
1396,0.0
1397,1.806775408
1398,2.133333333
1399,2.4
1400,25.0
1401,1.660899654
1402,1.621621622
1403,3.341067285
1404,0.0
1405,0.0
1406,0.0
1407,0.0
1408,0.0
1409,0.0
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,0.0
1424,0.0
1425,0.0
1426,0.0
1427,0.0
1428,0.0
1429,0.0
1430,0.0
1431,0.0
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,1.037463977
1437,0.0
1438,2.060085837
1439,0.0
1440,0.0
1441,0.0
1442,1.0992366409999998
1443,0.0
1444,1.7518248180000002
1445,0.0
1446,1.051094891
1447,0.0
1448,0.0
1449,1.262050833
1450,1.601779755
1451,1.786600496
1452,2.130177515
1453,2.054208274
1454,2.5714285709999998
1455,1.347053321
1456,1.980742779
1457,8.13559322
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,1.095057034
1468,1.7777777780000001
1469,1.5789473680000001
1470,1.68618267
1471,0.0
1472,6.697674419
1473,0.0
1474,2.903225806
1475,0.0
1476,0.0
1477,1.014799154
1478,0.0
1479,2.4324324319999997
1480,0.0
1481,0.0
1482,0.0
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,8.181818182
1490,0.0
1491,1.435692921
1492,0.0
1493,2.139673105
1494,1.344537815
1495,1.122369447
1496,1.2111017659999999
1497,1.277728483
1498,1.428571429
1499,0.0
1500,1.523809524
1501,0.0
1502,0.0
1503,0.0
1504,4.324324324
1505,3.1034482760000004
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,1.6802800469999999
1514,3.45323741
1515,0.0
1516,0.0
1517,1.829733164
1518,2.2820919180000003
1519,1.011235955
1520,5.581395349
1521,0.0
1522,0.0
1523,6.889952152999999
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,2.11143695
1533,0.0
1534,0.0
1535,4.528301887
1536,2.195121951
1537,3.130434783
1538,5.373134328
1539,0.0
1540,1.541755889
1541,2.862823062
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
