peso,fecha,nombreLote,numeroLote,lat,lng,nombreFinca
21.5,2018-08-02 14:46:24,5,5,7.76623098,-76.7626756,Porvenir
23.5,2018-08-02 14:46:26,5,5,7.76623098,-76.7626756,Porvenir
27.5,2018-08-02 14:46:28,5,5,7.76623098,-76.7626756,Porvenir
34,2018-08-02 14:46:29,5,5,7.76623098,-76.7626756,Porvenir
27,2018-08-02 14:46:31,5,5,7.76623098,-76.7626756,Porvenir
25.59,2018-08-02 15:39:07,5,5,7.76623098,-76.7626756,Porvenir
26,2018-08-02 15:39:09,5,5,7.76623098,-76.7626756,Porvenir
24.5,2018-08-02 15:39:12,5,5,7.76623098,-76.7626756,Porvenir
24,2018-08-02 15:39:14,5,5,7.76623098,-76.7626756,Porvenir
19,2018-08-02 15:39:16,5,5,7.76623098,-76.7626756,Porvenir
28,2018-08-02 15:39:18,5,5,7.76623098,-76.7626756,Porvenir
26,2018-08-02 15:39:20,5,5,7.76623098,-76.7626756,Porvenir
28.5,2018-08-02 15:39:23,5,5,7.76623098,-76.7626756,Porvenir
30,2018-08-02 15:39:25,5,5,7.76623098,-76.7626756,Porvenir
32,2018-08-02 15:39:27,5,5,7.76623098,-76.7626756,Porvenir
31.5,2018-08-02 15:39:29,5,5,7.76623098,-76.7626756,Porvenir
26,2018-08-02 15:39:31,5,5,7.76623098,-76.7626756,Porvenir
26.5,2018-08-02 15:39:33,5,5,7.76623098,-76.7626756,Porvenir
31,2018-08-02 15:39:35,5,5,7.76623098,-76.7626756,Porvenir
15,2018-08-02 15:39:37,5,5,7.76623098,-76.7626756,Porvenir
21,2018-08-02 15:39:39,5,5,7.76623098,-76.7626756,Porvenir
29,2018-08-02 15:39:41,5,5,7.76623098,-76.7626756,Porvenir
24.5,2018-08-02 15:39:43,5,5,7.76623098,-76.7626756,Porvenir
24,2018-08-02 15:39:44,5,5,7.76623098,-76.7626756,Porvenir
23.5,2018-08-02 15:39:47,5,5,7.76623098,-76.7626756,Porvenir
22.5,2018-08-02 15:39:48,5,5,7.76623098,-76.7626756,Porvenir
25.59,2018-08-02 16:04:39,5,5,7.76623098,-76.7626756,Porvenir
24,2018-08-02 16:04:41,5,5,7.76623098,-76.7626756,Porvenir
21,2018-08-02 16:04:43,5,5,7.76623098,-76.7626756,Porvenir
24.5,2018-08-02 16:04:45,5,5,7.76623098,-76.7626756,Porvenir
24.5,2018-08-02 16:04:46,5,5,7.76623098,-76.7626756,Porvenir
22.5,2018-08-02 16:04:48,5,5,7.76623098,-76.7626756,Porvenir
22,2018-08-02 16:04:49,5,5,7.76623098,-76.7626756,Porvenir
26,2018-08-02 16:04:51,5,5,7.76623098,-76.7626756,Porvenir
27.5,2018-08-02 16:04:53,5,5,7.76623098,-76.7626756,Porvenir
22,2018-08-02 16:04:55,5,5,7.76623098,-76.7626756,Porvenir
30.5,2018-08-02 16:04:57,5,5,7.76623098,-76.7626756,Porvenir
33.5,2018-08-02 16:04:59,5,5,7.76623098,-76.7626756,Porvenir
26.5,2018-08-02 16:05:00,5,5,7.76623098,-76.7626756,Porvenir
24,2018-08-02 16:05:03,5,5,7.76623098,-76.7626756,Porvenir
28.5,2018-08-02 16:05:04,5,5,7.76623098,-76.7626756,Porvenir
31.5,2018-08-02 16:05:06,5,5,7.76623098,-76.7626756,Porvenir
25,2018-08-02 16:05:08,5,5,7.76623098,-76.7626756,Porvenir
21,2018-08-02 16:05:10,5,5,7.76623098,-76.7626756,Porvenir
24,2018-08-02 16:05:11,5,5,7.76623098,-76.7626756,Porvenir
25.5,2018-08-02 16:05:13,5,5,7.76623098,-76.7626756,Porvenir
21,2018-08-02 16:05:15,5,5,7.76623098,-76.7626756,Porvenir
18.59,2018-08-02 16:42:50,5,5,7.76623098,-76.7626756,Porvenir
29.5,2018-08-02 16:42:54,5,5,7.76623098,-76.7626756,Porvenir
19.5,2018-08-02 16:42:59,5,5,7.76623098,-76.7626756,Porvenir
28.5,2018-08-02 16:43:03,5,5,7.76623098,-76.7626756,Porvenir
20.5,2018-08-02 16:43:07,5,5,7.76623098,-76.7626756,Porvenir
23.5,2018-08-02 16:43:12,5,5,7.76623098,-76.7626756,Porvenir
26,2018-08-02 16:43:16,5,5,7.76623098,-76.7626756,Porvenir
26,2018-08-02 16:43:20,5,5,7.76623098,-76.7626756,Porvenir
26,2018-08-02 16:43:27,5,5,7.76623098,-76.7626756,Porvenir
26.5,2018-08-02 16:43:32,5,5,7.76623098,-76.7626756,Porvenir
15,2018-08-02 16:43:36,5,5,7.76623098,-76.7626756,Porvenir
27.5,2018-08-02 16:43:41,5,5,7.76623098,-76.7626756,Porvenir
21.5,2018-08-02 16:43:46,5,5,7.76623098,-76.7626756,Porvenir
21,2018-08-02 16:43:50,5,5,7.76623098,-76.7626756,Porvenir
22,2018-08-02 16:43:55,5,5,7.76623098,-76.7626756,Porvenir
25,2018-08-02 16:43:58,5,5,7.76623098,-76.7626756,Porvenir
17.5,2018-08-02 16:44:03,5,5,7.76623098,-76.7626756,Porvenir
20.5,2018-08-02 16:44:19,5,5,7.76623098,-76.7626756,Porvenir
17,2018-08-02 16:44:22,5,5,7.76623098,-76.7626756,Porvenir
24.5,2018-08-02 16:44:25,5,5,7.76623098,-76.7626756,Porvenir
26.09,2018-08-03 00:30:48,5,5,7.76623098,-76.7626756,Porvenir
18,2018-08-03 00:30:51,5,5,7.76623098,-76.7626756,Porvenir
20,2018-08-03 00:30:54,5,5,7.76623098,-76.7626756,Porvenir
18.5,2018-08-03 00:30:57,5,5,7.76623098,-76.7626756,Porvenir
34.5,2018-08-03 00:30:59,5,5,7.76623098,-76.7626756,Porvenir
19,2018-08-03 00:30:02,5,5,7.76623098,-76.7626756,Porvenir
31.5,2018-08-03 00:30:04,5,5,7.76623098,-76.7626756,Porvenir
24.5,2018-08-03 00:30:06,5,5,7.76623098,-76.7626756,Porvenir
30,2018-08-03 00:30:09,5,5,7.76623098,-76.7626756,Porvenir
17.5,2018-08-03 00:30:11,5,5,7.76623098,-76.7626756,Porvenir
22,2018-08-03 00:30:13,5,5,7.76623098,-76.7626756,Porvenir
27,2018-08-03 00:30:14,5,5,7.76623098,-76.7626756,Porvenir
24,2018-08-03 00:30:16,5,5,7.76623098,-76.7626756,Porvenir
23,2018-08-03 00:30:18,5,5,7.76623098,-76.7626756,Porvenir
32,2018-08-03 00:30:20,5,5,7.76623098,-76.7626756,Porvenir
30.5,2018-08-03 00:30:22,5,5,7.76623098,-76.7626756,Porvenir
21,2018-08-03 00:30:24,5,5,7.76623098,-76.7626756,Porvenir
25,2018-08-03 00:30:25,5,5,7.76623098,-76.7626756,Porvenir
22.5,2018-08-03 00:30:27,5,5,7.76623098,-76.7626756,Porvenir
27.5,2018-08-03 00:30:29,5,5,7.76623098,-76.7626756,Porvenir
29.09,2018-08-03 07:01:09,5,5,7.76623098,-76.7626756,Porvenir
25,2018-08-03 07:01:12,5,5,7.76623098,-76.7626756,Porvenir
16.5,2018-08-03 07:01:14,5,5,7.76623098,-76.7626756,Porvenir
26,2018-08-03 07:01:16,5,5,7.76623098,-76.7626756,Porvenir
23,2018-08-03 07:01:18,5,5,7.76623098,-76.7626756,Porvenir
25,2018-08-03 07:01:20,5,5,7.76623098,-76.7626756,Porvenir
23,2018-08-03 07:01:22,5,5,7.76623098,-76.7626756,Porvenir
21,2018-08-03 07:01:24,5,5,7.76623098,-76.7626756,Porvenir
25.5,2018-08-03 07:01:25,5,5,7.76623098,-76.7626756,Porvenir
22,2018-08-03 07:01:27,5,5,7.76623098,-76.7626756,Porvenir
28,2018-08-03 07:01:29,5,5,7.76623098,-76.7626756,Porvenir
30,2018-08-03 07:01:30,5,5,7.76623098,-76.7626756,Porvenir
20.5,2018-08-03 07:01:32,5,5,7.76623098,-76.7626756,Porvenir
21.5,2018-08-03 07:01:34,5,5,7.76623098,-76.7626756,Porvenir
25.5,2018-08-03 07:01:36,5,5,7.76623098,-76.7626756,Porvenir
25,2018-08-03 07:01:38,5,5,7.76623098,-76.7626756,Porvenir
27,2018-08-03 07:01:39,5,5,7.76623098,-76.7626756,Porvenir
26.5,2018-08-03 07:01:41,5,5,7.76623098,-76.7626756,Porvenir
39,2018-08-03 07:01:42,5,5,7.76623098,-76.7626756,Porvenir
25.59,2018-08-03 07:24:59,5,5,7.76623098,-76.7626756,Porvenir
