Fecha:,Velocidad del viento (Km/h)
2018-07-10 18:45:05,0
2018-07-10 19:14:57,1.383285303
2018-07-10 19:44:57,1.570338059
2018-07-10 20:14:58,1.086792453
2018-07-10 20:44:57,1.670533643
2018-07-10 21:15:01,0
2018-07-10 21:44:57,1.902245707
2018-07-10 22:15:04,0
2018-07-10 22:45:02,0
2018-07-10 23:15:01,1.601779755
2018-07-10 23:44:58,1.846153846
2018-07-11 00:14:58,1.132075472
2018-07-11 00:45:02,0
2018-07-11 01:15:03,0
2018-07-11 01:45:02,0
2018-07-11 02:14:59,0
2018-07-11 02:45:03,0
2018-07-11 03:15:00,0
2018-07-11 03:45:03,0
2018-07-11 04:14:57,3.178807947
2018-07-11 04:44:58,1.540106952
2018-07-11 05:14:58,1.212121212
2018-07-11 05:45:00,0
2018-07-11 06:15:01,0
2018-07-11 06:45:01,0
2018-07-11 07:15:04,0
2018-07-11 07:44:58,1.747572816
2018-07-11 08:14:59,4.585987261
2018-07-11 08:44:58,2.5
2018-07-11 09:15:07,1.359773371
2018-07-11 09:45:00,2.868525896
2018-07-11 10:15:03,0
2018-07-11 10:44:59,1.24137931
2018-07-11 11:14:59,1.299638989
2018-07-11 11:45:03,1.385948027
2018-07-11 12:14:59,0
2018-07-11 12:45:01,1.877444589
2018-07-11 13:15:00,4.173913043
2018-07-11 13:45:01,5.647058824
2018-07-11 14:15:04,0
2018-07-11 14:44:58,3.829787234
2018-07-11 15:15:01,1.061164333
2018-07-11 15:44:58,1.636363636
2018-07-11 16:15:04,1.238177128
2018-07-11 16:44:58,2.432432432
2018-07-11 17:14:58,3.582089552
2018-07-11 17:45:02,0
2018-07-11 18:15:01,1.064301552
2018-07-11 18:45:01,1.054945055
2018-07-11 19:14:59,1.118012422
2018-07-11 19:45:02,1.142857143
2018-07-11 20:15:01,0
2018-07-11 20:45:02,1.312670921
2018-07-11 21:15:06,0
2018-07-11 21:45:05,0
2018-07-11 22:14:57,2.548672566
2018-07-11 22:44:58,1.584158416
2018-07-11 23:15:02,1.037463977
2018-07-11 23:44:57,1.343283582
2018-07-12 00:18:43,2.048364154
2018-07-12 00:44:59,2.096069869
2018-07-12 01:15:18,2.292993631
2018-07-12 01:45:00,2.139673105
2018-07-12 02:15:00,0
2018-07-12 02:45:02,3.420427553
2018-07-12 03:15:00,0
2018-07-12 03:45:03,2.88
2018-07-12 04:14:58,1.167883212
2018-07-12 04:44:57,2.599277978
2018-07-12 05:15:37,0
2018-07-12 05:45:01,2.526315789
2018-07-12 06:14:58,1.310282075
2018-07-12 06:44:58,2.448979592
2018-07-12 07:14:58,1.660899654
2018-07-12 07:44:59,3.673469388
2018-07-12 08:15:07,2.033898305
2018-07-12 08:45:02,1.836734694
2018-07-12 09:15:00,2.796116505
2018-07-12 09:44:59,1.139240506
2018-07-12 10:15:04,1.458966565
2018-07-12 10:44:59,1.172638436
2018-07-12 11:15:03,1.363636364
2018-07-12 11:45:08,0
2018-07-12 12:14:58,2.482758621
2018-07-12 12:44:58,2.571428571
2018-07-12 13:15:20,1.047272727
2018-07-12 13:44:57,1.496881497
2018-07-12 14:14:59,2.063037249
