,Luz (lux)
2377,1
2378,1
2379,1
2380,1
2381,1
2382,1
2383,1
2384,1
2385,1
2386,1
2387,1
2388,1
2389,1
2390,1
2391,1
2392,1
2393,1
2394,1
2395,46
2396,2091
2397,6084
2398,11419
2399,20034
2400,26239
2401,18938
2402,22167
2403,38026
2404,37180
2405,38026
2406,42075
2407,44508
2408,33982
2409,49247
2410,29361
2411,31059
2412,29693
2413,32124
2414,25369
2415,18517
2416,9866
2417,4698
2418,2212
2419,542
2420,4
2421,1
2422,1
2423,1
2424,1
2425,1
2426,1
2427,1
2428,1
2429,1
2430,1
2431,1
2432,1
2433,1
2434,1
2435,1
2436,1
2437,1
2438,1
2439,1
2440,1
2441,1
2442,1
2443,55
2444,2475
2445,6885
2446,12635
2447,24527
2448,26536
2449,18938
2450,16548
2451,10795
2452,19588
2453,25655
2454,33982
2455,27756
2456,23714
2457,14623
2458,27446
2459,35148
2460,22167
2461,37180
2462,35947
2463,20955
2464,11419
2465,13068
2466,4859
2467,1127
2468,6
2469,1
2470,1
2471,1
2472,1
2473,1
2474,1
2475,1
2476,1
2477,1
2478,1
2479,1
2480,1
2481,1
2482,1
2483,1
2484,1
2485,1
2486,1
2487,1
2488,1
2489,1
2490,1
2491,31
2492,2212
2493,5316
2494,11419
2495,17116
2496,29033
2497,33982
2498,31410
2499,35545
2500,37601
2501,41605
2502,40225
2503,46035
2504,47614
2505,48697
2506,51513
2507,49804
2508,45520
2509,42551
2510,32488
2511,25085
2512,16735
2513,10554
2514,5623
2515,1526
2516,4
2517,1
2518,1
2519,1
2520,1
2521,1
2522,1
2523,1
2524,1
2525,1
2526,1
2527,1
2528,1
2529,1
2530,1
2531,1
2532,1
2533,1
2534,1
2535,1
2536,1
2537,1
2538,1
2539,41
2540,2801
2541,8718
2542,13980
2543,12493
2544,16924
2545,31765
2546,34755
2547,42075
2548,36765
2549,25085
2550,43518
2551,45011
2552,48152
2553,49804
2554,25085
2555,48152
2556,44010
2557,40225
2558,31410
2559,21919
2560,14138
2561,8335
2562,2560
2563,607
2564,5
2565,1
2566,1
2567,1
2568,1
2569,1
2570,1
2571,1
2572,1
2573,1
2574,1
2575,1
2576,1
2577,1
2578,1
2579,1
2580,1
2581,1
2582,1
2583,1
2584,1
2585,1
2586,1
2587,59
2588,2963
2589,8150
2590,14460
2591,21192
2592,28387
2593,33226
2594,30712
2595,36765
2596,22417
2597,38026
2598,25946
2599,40679
2600,42551
2601,48697
2602,26536
2603,50367
2604,38891
2605,40225
2606,16363
2607,13824
2608,10795
2609,4294
2610,1219
2611,335
2612,2
2613,1
2614,1
2615,1
2616,1
2617,1
2618,1
2619,1
2620,1
2621,1
2622,1
2623,1
2624,1
2625,1
2626,1
2627,1
2628,1
2629,1
2630,1
2631,1
2632,1
2633,1
2634,1
2635,46
2636,777
2637,2091
2638,7365
2639,18517
2640,9647
2641,11291
2642,24805
2643,31765
2644,23982
2645,31059
2646,30368
2647,34366
2648,33226
2649,29033
2650,23449
2651,20489
2652,18106
2653,19153
2654,20955
2655,14623
2656,9866
2657,7365
2658,4198
2659,1089
2660,4
2661,1
2662,1
2663,1
2664,1
2665,1
2666,1
2667,1
2668,1
2669,1
2670,1
2671,1
2672,1
2673,1
2674,1
2675,1
2676,1
2677,1
2678,1
2679,1
2680,1
2681,1
2682,1
2683,41
2684,2091
2685,5882
2686,10320
2687,29693
